Class Name;Current Object Name;Current Description;New Object Name;New Description
Sessão Legislativa Veto Total;Dat Fim Sessao Legislativa;Mostra a data completa de fim das sessões legislativas em cada legislatura em que a proposição sofreu veto total. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde ao fim da sessão preparatória e de eleição) 22/12/2011 (corresponde ao último dia dia da 1ª sessão legislativa);Dat Fim Sessao Legislativa;Mostra a data completa de fim das sessões legislativas em cada legislatura em que a proposição sofreu veto total. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde ao fim da sessão preparatória e de eleição) 22/12/2011 (corresponde ao último dia dia da 1ª sessão legislativa)
Sessão Legislativa Veto Total;Dat Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar em que houve veto total das proposições. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   ";Dat Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar em que houve veto total das proposições. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   "
Sessão Legislativa Veto Total;Dat Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar em que houve veto total das proposições. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   ";Dat Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar em que houve veto total das proposições. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   "
Tipo Norma Jurídica;Sigla Norma Jurídica;Apresenta a sigla correspondente a cada norma jurídica existente. Por exemplo:                                 LCP: Lei Complementar                                         MPV: Media Provisória                                        RCD: Resolução da Câmara dos Deputados;Sigla Norma Jurídica;Apresenta a sigla correspondente a cada norma jurídica existente. Por exemplo:                                 LCP: Lei Complementar                                         MPV: Media Provisória                                        RCD: Resolução da Câmara dos Deputados
Tipo Norma Jurídica;Des Tipo Norma Jurídica;Mostra o nome completo de cada norma jurídica existente. Por exemplo: Lei nº 8.112, de 11 de dezembro de 1990;Des Tipo Norma Jurídica;Mostra o nome completo de cada norma jurídica existente. Por exemplo: Lei nº 8.112, de 11 de dezembro de 1990
Tipo Norma Jurídica;Cod Tipo Norma Juridica Origem;;Cod Tipo Norma Juridica Origem;
Tipo Autor;Ide Tipo Autor;;Ide Tipo Autor;
Tipo Autor;Cod Tipo Autor Origem;;Cod Tipo Autor Origem;
Tipo Autor;Descrição Tipo Autor (sem hierarquia);;Descrição Tipo Autor (sem hierarquia);
Tipo Autor;Tex Classe;;Tex Classe;
Tipo Autor;Ide Tipo Autor Pai N1;;Ide Tipo Autor Pai N1;
Tipo Autor;Cod Tipo Autor Pai Origem N1;;Cod Tipo Autor Pai Origem N1;
Tipo Autor;Des Tipo Autor Pai N1;;Des Tipo Autor Pai N1;
Tipo Autor;Ide Tipo Autor Pai N2;;Ide Tipo Autor Pai N2;
Tipo Autor;Cod Tipo Autor Pai Origem N2;;Cod Tipo Autor Pai Origem N2;
Tipo Autor;Des Tipo Autor Pai N2;;Des Tipo Autor Pai N2;
Tipo Autor;Ide Tipo Autor Pai N3;;Ide Tipo Autor Pai N3;
Tipo Autor;Cod Tipo Autor Pai Origem N3;;Cod Tipo Autor Pai Origem N3;
